"Date","Cumulative cases","Deaths","Tests"
"2020-03-05",1,0,181
"2020-03-06",1,0,200
"2020-03-07",2,0,241
"2020-03-08",3,0,241
"2020-03-09",7,0,241
"2020-03-10",7,0,241
"2020-03-11",13,0,645
"2020-03-12",16,0,848
"2020-03-13",24,0,924
"2020-03-14",38,0,1017
"2020-03-15",61,0,1476
"2020-03-16",62,0,2405
"2020-03-17",85,0,2911
"2020-03-18",116,0,3070
"2020-03-19",150,0,4832
"2020-03-20",202,0,6438
"2020-03-21",240,0,7425
"2020-03-22",274,0,9315
"2020-03-23",402,0,12815
"2020-03-24",554,0,15529
"2020-03-25",709,0,15529
"2020-03-26",927,0,20471
"2020-03-27",1170,1,28537
"2020-03-28",1187,1,31963
"2020-03-29",1280,2,35539
"2020-03-30",1326,3,38409
"2020-03-31",1353,5,41072
"2020-04-01",1380,5,44292
"2020-04-02",1462,7,47956
"2020-04-03",1505,7,50361
"2020-04-04",1585,9,53937
"2020-04-05",1655,11,56873
"2020-04-06",1686,12,58098
"2020-04-07",1749,13,58098
"2020-04-08",1845,18,63776
"2020-04-09",1935,18,68874
"2020-04-10",2003,24,73028
"2020-04-11",2028,25,75053
"2020-04-12",2173,25,80085
